audit_id,supplier_id,audit_date,standard,clause,finding_type,severity,description,corrective_action_required,corrective_action_description,due_date,closure_date,status
AUD-00256,SPLR-027,11/16/2024,IATF 16949,8.3,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Define and communicate complaint handling procedure.,2/2/2025,2/12/2025,Closed
AUD-00257,SPLR-071,4/27/2024,ISO 9001:2015,8.2,Observation,Major,Inadequate training records for new operators.,Yes,Implement formal non-conformance containment measures.,5/28/2024,6/3/2024,Closed
AUD-00258,SPLR-064,11/9/2022,ISO 9001:2015,6.2,Observation,Major,Inadequate training records for new operators.,Yes,Enhance traceability documentation for all lot numbers.,1/14/2023,1/19/2023,Closed
AUD-00259,SPLR-093,9/27/2024,IATF 16949,8.3,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Develop and follow a strict maintenance timetable.,11/6/2024,11/4/2024,Closed
AUD-00260,SPLR-098,1/15/2025,ISO 9001:2015,8.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,4/15/2025,4/8/2025,Closed
AUD-00261,SPLR-059,10/9/2022,ISO 9001:2015,4.2,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,11/21/2022,12/13/2022,Closed
AUD-00262,SPLR-002,9/16/2024,IATF 16949,4.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Expand audit scope and ensure full coverage.,11/20/2024,12/6/2024,Closed
AUD-00263,SPLR-014,1/2/2025,IATF 16949,4.1,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,3/24/2025,3/25/2025,Closed
AUD-00264,SPLR-035,5/9/2023,ISO 9001:2015,8.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Integrate risk assessment into supplier evaluation template.,7/30/2023,8/11/2023,Closed
AUD-00265,SPLR-039,2/4/2024,IATF 16949,8.3,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Conduct training sessions and maintain attendance logs.,4/18/2024,4/22/2024,Closed
AUD-00266,SPLR-082,7/11/2022,IATF 16949,8.1,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,9/9/2022,9/2/2022,Closed
AUD-00267,SPLR-068,6/19/2022,IATF 16949,8.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Document action items and track their closure status.,9/11/2022,9/7/2022,Closed
AUD-00268,SPLR-070,3/9/2023,IATF 16949,6.3,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,5/21/2023,5/28/2023,Closed
AUD-00269,SPLR-010,10/7/2023,ISO 9001:2015,5.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Implement formal non-conformance containment measures.,12/24/2023,1/8/2024,Closed
AUD-00270,SPLR-097,2/28/2025,ISO 9001:2015,8.2,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,4/20/2025,5/4/2025,Closed
AUD-00271,SPLR-044,10/22/2024,IATF 16949,4.2,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Enhance traceability documentation for all lot numbers.,12/5/2024,11/29/2024,Closed
AUD-00272,SPLR-049,3/2/2022,IATF 16949,8.3,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Conduct training sessions and maintain attendance logs.,4/23/2022,5/18/2022,Closed
AUD-00273,SPLR-092,4/14/2025,IATF 16949,4.3,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Integrate risk assessment into supplier evaluation template.,7/4/2025,7/9/2025,Open
AUD-00274,SPLR-014,7/3/2023,ISO 9001:2015,7.1,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Enhance traceability documentation for all lot numbers.,8/22/2023,9/4/2023,Closed
AUD-00275,SPLR-024,9/24/2023,IATF 16949,7.3,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,11/1/2023,10/27/2023,Closed
AUD-00276,SPLR-012,2/14/2025,IATF 16949,5.1,Observation,Major,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,4/7/2025,5/2/2025,Closed
AUD-00277,SPLR-032,1/26/2022,IATF 16949,8.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Update calibration records and schedule preventive calibration.,4/12/2022,5/7/2022,Closed
AUD-00278,SPLR-009,12/14/2022,ISO 9001:2015,6.1,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Integrate risk assessment into supplier evaluation template.,2/13/2023,2/12/2023,Closed
AUD-00279,SPLR-032,7/20/2023,IATF 16949,7.1,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,9/11/2023,9/17/2023,Closed
AUD-00280,SPLR-043,7/26/2024,ISO 9001:2015,5.1,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Revise and train staff on procedure adherence.,10/24/2024,11/8/2024,Closed
AUD-00281,SPLR-078,6/20/2024,IATF 16949,8.2,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Implement formal non-conformance containment measures.,8/8/2024,8/18/2024,Closed
AUD-00282,SPLR-063,10/6/2023,ISO 9001:2015,7.1,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Integrate risk assessment into supplier evaluation template.,12/22/2023,1/21/2024,Closed
AUD-00283,SPLR-026,2/10/2024,IATF 16949,8.1,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Update calibration records and schedule preventive calibration.,5/9/2024,6/4/2024,Closed
AUD-00284,SPLR-087,8/3/2024,ISO 9001:2015,7.2,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,10/24/2024,11/9/2024,Closed
AUD-00285,SPLR-010,9/13/2023,ISO 9001:2015,6.1,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Enhance traceability documentation for all lot numbers.,12/2/2023,12/16/2023,Closed
AUD-00286,SPLR-047,4/7/2025,IATF 16949,9.3,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,6/10/2025,6/2/2025,Open
AUD-00287,SPLR-097,5/24/2023,IATF 16949,5.3,Observation,Major,Management review records lack evidence of action tracking.,Yes,Revise and train staff on procedure adherence.,7/29/2023,8/13/2023,Closed
AUD-00288,SPLR-072,8/5/2022,ISO 9001:2015,4.2,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Conduct training sessions and maintain attendance logs.,10/6/2022,10/29/2022,Closed
AUD-00289,SPLR-004,2/6/2024,IATF 16949,8.3,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Expand audit scope and ensure full coverage.,3/16/2024,3/28/2024,Closed
AUD-00290,SPLR-044,8/29/2023,IATF 16949,4.3,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Implement formal non-conformance containment measures.,10/20/2023,10/29/2023,Closed
AUD-00291,SPLR-041,12/3/2024,IATF 16949,7.3,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,1/30/2025,2/17/2025,Closed
AUD-00292,SPLR-095,4/2/2022,ISO 9001:2015,4.1,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Update calibration records and schedule preventive calibration.,6/14/2022,6/14/2022,Closed
AUD-00293,SPLR-052,2/4/2025,ISO 9001:2015,6.2,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,4/4/2025,4/8/2025,Closed
AUD-00294,SPLR-055,6/4/2024,IATF 16949,4.1,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Conduct training sessions and maintain attendance logs.,8/1/2024,8/28/2024,Closed
AUD-00295,SPLR-024,3/16/2023,ISO 9001:2015,6.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,4/21/2023,5/15/2023,Closed
AUD-00296,SPLR-041,2/8/2023,IATF 16949,5.1,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Define and communicate complaint handling procedure.,4/12/2023,5/12/2023,Closed
AUD-00297,SPLR-087,4/17/2025,ISO 9001:2015,6.2,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Define and communicate complaint handling procedure.,6/25/2025,6/26/2025,Open
AUD-00298,SPLR-048,10/2/2022,IATF 16949,5.1,Non-conformance,Major,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,11/8/2022,11/9/2022,Closed
AUD-00299,SPLR-082,5/6/2024,ISO 9001:2015,8.2,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Enhance traceability documentation for all lot numbers.,6/16/2024,7/7/2024,Closed
AUD-00300,SPLR-080,9/29/2024,IATF 16949,5.2,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Develop and follow a strict maintenance timetable.,12/21/2024,1/8/2025,Closed
AUD-00301,SPLR-084,1/20/2022,IATF 16949,5.2,Observation,Major,Inadequate training records for new operators.,Yes,Enhance traceability documentation for all lot numbers.,3/26/2022,4/17/2022,Closed
AUD-00302,SPLR-004,10/4/2024,IATF 16949,8.3,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,11/8/2024,12/4/2024,Closed
AUD-00303,SPLR-073,3/8/2022,IATF 16949,6.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Integrate risk assessment into supplier evaluation template.,4/17/2022,5/6/2022,Closed
AUD-00304,SPLR-098,3/18/2025,ISO 9001:2015,6.1,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Develop and follow a strict maintenance timetable.,5/21/2025,5/13/2025,Closed
AUD-00305,SPLR-058,5/20/2024,ISO 9001:2015,9.2,Observation,Major,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,8/13/2024,8/5/2024,Closed
AUD-00306,SPLR-089,6/28/2022,IATF 16949,5.1,Observation,Major,Inadequate training records for new operators.,Yes,Conduct training sessions and maintain attendance logs.,9/17/2022,10/14/2022,Closed
AUD-00307,SPLR-073,12/6/2022,ISO 9001:2015,10.1,Observation,Major,Inadequate training records for new operators.,Yes,Conduct training sessions and maintain attendance logs.,2/25/2023,2/18/2023,Closed
AUD-00308,SPLR-066,1/8/2025,ISO 9001:2015,6.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Integrate risk assessment into supplier evaluation template.,3/15/2025,3/22/2025,Closed
AUD-00309,SPLR-092,4/22/2024,ISO 9001:2015,6.1,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Implement formal non-conformance containment measures.,6/6/2024,6/5/2024,Closed
AUD-00310,SPLR-049,3/15/2024,IATF 16949,5.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Integrate risk assessment into supplier evaluation template.,5/24/2024,6/9/2024,Closed
AUD-00311,SPLR-042,7/10/2022,IATF 16949,9.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,9/7/2022,9/28/2022,Closed
AUD-00312,SPLR-028,7/27/2024,IATF 16949,4.3,Observation,Major,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,9/8/2024,9/25/2024,Closed
AUD-00313,SPLR-063,10/24/2023,IATF 16949,7.2,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Document action items and track their closure status.,12/1/2023,12/27/2023,Closed
AUD-00314,SPLR-057,4/5/2022,ISO 9001:2015,9.1,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,5/12/2022,5/12/2022,Closed
AUD-00315,SPLR-012,5/26/2024,ISO 9001:2015,9.2,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Integrate risk assessment into supplier evaluation template.,7/5/2024,7/12/2024,Closed
AUD-00316,SPLR-040,6/18/2022,IATF 16949,10.3,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,8/12/2022,9/11/2022,Closed
AUD-00317,SPLR-076,7/6/2022,ISO 9001:2015,4.1,Non-conformance,Major,Inadequate training records for new operators.,Yes,Define and communicate complaint handling procedure.,8/9/2022,8/7/2022,Closed
AUD-00318,SPLR-089,1/20/2022,ISO 9001:2015,9.2,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Update calibration records and schedule preventive calibration.,4/15/2022,5/2/2022,Closed
AUD-00319,SPLR-048,5/26/2022,ISO 9001:2015,7.1,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,7/1/2022,7/11/2022,Closed
AUD-00320,SPLR-002,2/23/2024,ISO 9001:2015,9.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Update calibration records and schedule preventive calibration.,4/26/2024,5/22/2024,Closed
AUD-00321,SPLR-028,12/21/2023,ISO 9001:2015,9.1,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Enhance traceability documentation for all lot numbers.,2/28/2024,3/17/2024,Closed
AUD-00322,SPLR-018,10/14/2022,ISO 9001:2015,8.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Develop and follow a strict maintenance timetable.,12/10/2022,12/20/2022,Closed
AUD-00323,SPLR-037,6/22/2022,ISO 9001:2015,8.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Document action items and track their closure status.,9/6/2022,10/4/2022,Closed
AUD-00324,SPLR-031,2/25/2023,ISO 9001:2015,9.2,Observation,Major,Traceability records incomplete for critical components.,Yes,Integrate risk assessment into supplier evaluation template.,5/7/2023,4/30/2023,Closed
AUD-00325,SPLR-047,8/19/2022,ISO 9001:2015,7.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Update calibration records and schedule preventive calibration.,10/21/2022,10/11/2022,Closed
AUD-00326,SPLR-099,3/3/2024,IATF 16949,7.3,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Implement formal non-conformance containment measures.,5/20/2024,6/9/2024,Closed
AUD-00327,SPLR-051,4/17/2025,ISO 9001:2015,4.1,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Conduct training sessions and maintain attendance logs.,5/19/2025,5/12/2025,Closed
AUD-00328,SPLR-036,5/17/2024,IATF 16949,4.3,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Expand audit scope and ensure full coverage.,7/25/2024,7/24/2024,Closed
AUD-00329,SPLR-076,6/11/2022,ISO 9001:2015,10.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Expand audit scope and ensure full coverage.,7/31/2022,8/15/2022,Closed
AUD-00330,SPLR-015,6/14/2024,ISO 9001:2015,4.1,Observation,Minor,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,9/11/2024,9/28/2024,Closed
AUD-00331,SPLR-021,9/26/2023,ISO 9001:2015,4.2,Observation,Major,Documented procedure not followed during batch production.,Yes,Implement formal non-conformance containment measures.,12/9/2023,11/29/2023,Closed
AUD-00332,SPLR-094,12/7/2024,IATF 16949,5.3,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,2/22/2025,3/1/2025,Closed
AUD-00333,SPLR-081,11/18/2023,IATF 16949,6.3,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Update calibration records and schedule preventive calibration.,1/3/2024,1/29/2024,Closed
AUD-00334,SPLR-021,7/21/2024,IATF 16949,4.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Document action items and track their closure status.,8/30/2024,9/12/2024,Closed
AUD-00335,SPLR-032,3/21/2025,ISO 9001:2015,5.2,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,4/22/2025,4/12/2025,Closed
AUD-00336,SPLR-029,1/16/2024,IATF 16949,5.2,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,3/21/2024,4/6/2024,Closed
AUD-00337,SPLR-065,5/2/2024,IATF 16949,6.3,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,6/24/2024,6/21/2024,Closed
AUD-00338,SPLR-100,4/3/2023,ISO 9001:2015,7.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Define and communicate complaint handling procedure.,6/27/2023,7/5/2023,Closed
AUD-00339,SPLR-039,6/26/2022,IATF 16949,4.1,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Conduct training sessions and maintain attendance logs.,8/13/2022,9/8/2022,Closed
AUD-00340,SPLR-053,1/25/2024,IATF 16949,6.1,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Conduct training sessions and maintain attendance logs.,3/4/2024,2/23/2024,Closed
AUD-00341,SPLR-095,1/14/2025,IATF 16949,10.3,Observation,Minor,Documented procedure not followed during batch production.,Yes,Develop and follow a strict maintenance timetable.,2/13/2025,2/27/2025,Closed
AUD-00342,SPLR-012,2/25/2023,ISO 9001:2015,7.1,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,4/5/2023,4/12/2023,Closed
AUD-00343,SPLR-065,11/30/2024,IATF 16949,7.3,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,2/5/2025,2/1/2025,Closed
AUD-00344,SPLR-041,6/3/2022,ISO 9001:2015,7.1,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Conduct training sessions and maintain attendance logs.,7/21/2022,7/27/2022,Closed
AUD-00345,SPLR-018,10/14/2023,IATF 16949,6.3,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,1/12/2024,1/14/2024,Closed
AUD-00346,SPLR-069,8/5/2022,ISO 9001:2015,7.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Develop and follow a strict maintenance timetable.,9/30/2022,9/27/2022,Closed
AUD-00347,SPLR-088,7/14/2024,IATF 16949,8.3,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,8/18/2024,8/18/2024,Closed
AUD-00348,SPLR-066,3/17/2023,IATF 16949,5.2,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Conduct training sessions and maintain attendance logs.,5/8/2023,5/23/2023,Closed
AUD-00349,SPLR-032,6/17/2023,ISO 9001:2015,4.1,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Define and communicate complaint handling procedure.,8/21/2023,9/15/2023,Closed
AUD-00350,SPLR-017,7/28/2022,ISO 9001:2015,4.2,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Revise and train staff on procedure adherence.,10/19/2022,10/23/2022,Closed
AUD-00351,SPLR-003,2/2/2024,ISO 9001:2015,8.2,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Integrate risk assessment into supplier evaluation template.,4/30/2024,4/24/2024,Closed
AUD-00352,SPLR-007,6/27/2024,ISO 9001:2015,4.2,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Update calibration records and schedule preventive calibration.,7/29/2024,8/17/2024,Closed
AUD-00353,SPLR-028,3/19/2024,IATF 16949,4.1,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Enhance traceability documentation for all lot numbers.,4/29/2024,5/11/2024,Closed
AUD-00354,SPLR-032,7/28/2023,IATF 16949,5.2,Observation,Major,Documented procedure not followed during batch production.,Yes,Document action items and track their closure status.,10/5/2023,11/3/2023,Closed
AUD-00355,SPLR-054,4/23/2024,IATF 16949,4.2,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Integrate risk assessment into supplier evaluation template.,6/16/2024,6/14/2024,Closed
AUD-00356,SPLR-045,1/18/2025,ISO 9001:2015,7.1,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Define and communicate complaint handling procedure.,3/23/2025,4/13/2025,Closed
AUD-00357,SPLR-100,7/8/2023,ISO 9001:2015,4.1,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Document action items and track their closure status.,8/21/2023,8/12/2023,Closed
AUD-00358,SPLR-085,8/24/2024,IATF 16949,10.1,Non-conformance,Major,Inadequate training records for new operators.,Yes,Implement formal non-conformance containment measures.,9/29/2024,10/4/2024,Closed
AUD-00359,SPLR-046,12/28/2024,ISO 9001:2015,10.1,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Document action items and track their closure status.,3/22/2025,4/5/2025,Closed
AUD-00360,SPLR-073,4/30/2023,IATF 16949,7.3,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Revise and train staff on procedure adherence.,7/14/2023,7/26/2023,Closed
AUD-00361,SPLR-030,10/5/2024,IATF 16949,5.3,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,11/9/2024,11/2/2024,Closed
AUD-00362,SPLR-044,12/14/2024,IATF 16949,4.1,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Document action items and track their closure status.,1/25/2025,1/23/2025,Closed
AUD-00363,SPLR-068,5/2/2022,ISO 9001:2015,5.1,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Implement formal non-conformance containment measures.,7/20/2022,7/17/2022,Closed
AUD-00364,SPLR-018,2/5/2024,IATF 16949,10.1,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Develop and follow a strict maintenance timetable.,3/25/2024,4/4/2024,Closed
AUD-00365,SPLR-029,9/24/2024,IATF 16949,5.3,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Document action items and track their closure status.,12/13/2024,12/25/2024,Closed
AUD-00366,SPLR-051,9/21/2023,IATF 16949,5.2,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,12/20/2023,1/15/2024,Closed
AUD-00367,SPLR-019,10/14/2023,ISO 9001:2015,9.1,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Update calibration records and schedule preventive calibration.,1/11/2024,2/1/2024,Closed
AUD-00368,SPLR-094,5/3/2023,IATF 16949,7.2,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Update calibration records and schedule preventive calibration.,7/24/2023,8/23/2023,Closed
AUD-00369,SPLR-014,1/24/2022,IATF 16949,6.1,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,3/17/2022,3/23/2022,Closed
AUD-00370,SPLR-045,3/1/2024,IATF 16949,8.2,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Enhance traceability documentation for all lot numbers.,5/1/2024,5/15/2024,Closed
AUD-00371,SPLR-038,9/8/2024,ISO 9001:2015,5.1,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,11/28/2024,11/20/2024,Closed
AUD-00372,SPLR-021,6/19/2023,ISO 9001:2015,4.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,9/13/2023,9/27/2023,Closed
AUD-00373,SPLR-021,11/24/2023,IATF 16949,4.1,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Implement formal non-conformance containment measures.,1/31/2024,2/17/2024,Closed
AUD-00374,SPLR-034,11/10/2023,ISO 9001:2015,5.2,Observation,Major,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,1/25/2024,2/18/2024,Closed
AUD-00375,SPLR-020,5/2/2023,ISO 9001:2015,4.1,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Document action items and track their closure status.,7/6/2023,7/27/2023,Closed
AUD-00376,SPLR-013,1/8/2022,IATF 16949,4.3,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Document action items and track their closure status.,3/9/2022,3/11/2022,Closed
AUD-00377,SPLR-061,12/16/2022,IATF 16949,4.3,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Update calibration records and schedule preventive calibration.,2/3/2023,2/18/2023,Closed
AUD-00378,SPLR-058,7/6/2022,IATF 16949,5.3,Non-conformance,Major,Preventive maintenance schedule not adhered to.,Yes,Enhance traceability documentation for all lot numbers.,8/28/2022,8/29/2022,Closed
AUD-00379,SPLR-020,6/19/2024,IATF 16949,6.3,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,8/24/2024,8/17/2024,Closed
AUD-00380,SPLR-067,12/6/2023,IATF 16949,10.1,Observation,Major,Inadequate training records for new operators.,Yes,Expand audit scope and ensure full coverage.,1/8/2024,1/22/2024,Closed
AUD-00381,SPLR-065,3/18/2025,ISO 9001:2015,7.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,5/12/2025,5/4/2025,Closed
AUD-00382,SPLR-055,7/8/2024,ISO 9001:2015,5.1,Non-conformance,Major,Inadequate training records for new operators.,Yes,Conduct training sessions and maintain attendance logs.,8/15/2024,8/7/2024,Closed
AUD-00383,SPLR-012,2/18/2023,ISO 9001:2015,10.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Integrate risk assessment into supplier evaluation template.,4/9/2023,4/3/2023,Closed
AUD-00384,SPLR-090,2/4/2025,IATF 16949,6.3,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Define and communicate complaint handling procedure.,5/3/2025,4/23/2025,Closed
AUD-00385,SPLR-014,4/28/2024,ISO 9001:2015,5.1,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Document action items and track their closure status.,7/4/2024,6/30/2024,Closed
AUD-00386,SPLR-074,1/1/2025,IATF 16949,8.2,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Enhance traceability documentation for all lot numbers.,3/13/2025,4/3/2025,Closed
AUD-00387,SPLR-005,12/19/2022,IATF 16949,8.1,Observation,Major,Control of non-conforming product is not effectively implemented.,Yes,Document action items and track their closure status.,2/25/2023,3/12/2023,Closed
AUD-00388,SPLR-003,5/2/2023,ISO 9001:2015,9.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Integrate risk assessment into supplier evaluation template.,7/28/2023,8/10/2023,Closed
AUD-00389,SPLR-096,9/29/2023,IATF 16949,9.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Conduct training sessions and maintain attendance logs.,11/6/2023,11/15/2023,Closed
AUD-00390,SPLR-053,7/6/2023,IATF 16949,10.2,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Conduct training sessions and maintain attendance logs.,9/2/2023,9/5/2023,Closed
AUD-00391,SPLR-100,4/26/2022,ISO 9001:2015,4.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Expand audit scope and ensure full coverage.,6/20/2022,6/18/2022,Closed
AUD-00392,SPLR-007,1/30/2023,ISO 9001:2015,10.2,Observation,Minor,Documented procedure not followed during batch production.,Yes,Conduct training sessions and maintain attendance logs.,3/3/2023,3/22/2023,Closed
AUD-00393,SPLR-088,7/16/2023,IATF 16949,8.3,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,9/24/2023,9/21/2023,Closed
AUD-00394,SPLR-076,2/2/2024,IATF 16949,10.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,4/27/2024,5/17/2024,Closed
AUD-00395,SPLR-021,12/1/2022,IATF 16949,4.3,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Revise and train staff on procedure adherence.,1/24/2023,1/17/2023,Closed
AUD-00396,SPLR-061,4/7/2023,ISO 9001:2015,6.1,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,5/8/2023,4/28/2023,Closed
